Record_ID,DateKey,GeographyKey,DisasterTypeKey,Compound_Event,Disaster_Duration_Days,Disaster_Magnitude,Hazard_Severity,Number_of_Deaths,Number_of_Injuries,Number_of_People_Affected,Displacement_Count,Houses_Damaged,Infrastructure_Damage_Score,Crop_Loss_Percentage,Economic_Loss_Million
REC_2015_03_D_013,20150301,13,2,0,5,2.27,2.21,1,9,84421,21101,4638,1.12,0.0,5.824
REC_2015_03_D_026,20150301,26,5,0,8,3.59,4.26,1,6,216324,65191,13927,19.27,4.86,73.2003
REC_2015_03_D_036,20150301,36,3,0,5,4.26,3.37,0,3,155226,31529,4470,17.84,0.0,48.8319
REC_2015_03_D_099,20150301,99,6,0,12,6.95,5.76,0,11,100842,35290,5940,31.31,0.0,102.3729
REC_2015_04_D_006,20150401,6,7,0,21,8.3,10.0,10,39,210101,74123,15424,66.46,0.0,295.8159
REC_2015_04_D_018,20150401,18,7,0,22,12.19,10.0,9,77,97123,31044,6093,53.67,0.0,420.476
REC_2015_04_D_021,20150401,21,7,0,20,12.39,10.0,2,22,98025,18279,4353,32.12,0.0,619.5472
REC_2015_04_D_025,20150401,25,7,0,22,10.19,10.0,31,228,313010,114336,25905,66.88,0.0,747.0785
REC_2015_04_D_026,20150401,26,7,1,22,10.57,10.0,25,225,263844,79512,14302,62.48,0.0,741.3968
REC_2015_04_D_030,20150401,30,7,1,21,12.95,10.0,13,79,44845,10857,2670,58.42,0.0,656.2502
REC_2015_04_D_034,20150401,34,7,0,14,7.99,7.89,0,11,101629,26712,5620,40.63,0.0,312.1666
REC_2015_04_D_035,20150401,35,7,0,20,10.28,10.0,11,105,78364,19854,3742,55.26,0.0,847.263
REC_2015_04_D_041,20150401,41,7,0,18,11.18,10.0,12,35,166657,54790,10355,64.49,0.0,141.0785
REC_2015_04_D_047,20150401,47,7,0,19,8.85,10.0,24,239,163235,48924,11239,60.36,0.0,445.0751
REC_2015_04_D_064,20150401,64,7,0,20,11.56,10.0,18,157,232745,63595,13574,49.2,0.0,1149.8512
REC_2015_04_D_066,20150401,66,2,0,5,1.8,1.43,0,10,16021,4315,780,0.0,0.0,49.469
REC_2015_04_D_068,20150401,68,7,0,17,10.04,8.41,5,21,152564,52482,8384,52.37,0.0,405.6411
REC_2015_04_D_079,20150401,79,7,0,15,6.85,6.3,0,2,90978,32042,5451,43.52,0.0,219.048
REC_2015_04_D_083,20150401,83,7,0,7,2.81,3.1,0,9,127697,46175,10208,27.02,0.0,937.1047
REC_2015_04_D_087,20150401,87,7,0,6,2.47,2.24,0,7,44891,13926,2575,14.96,0.0,41.2078
REC_2015_04_D_088,20150401,88,7,0,16,7.91,6.7,3,23,169066,43287,8666,25.56,0.0,638.1128
REC_2015_04_D_091,20150401,91,7,0,21,12.88,10.0,12,31,170454,49506,6648,54.48,0.0,344.694
REC_2015_04_D_092,20150401,92,7,0,11,3.77,4.6,0,10,17624,5044,1311,25.53,0.0,33.9106
REC_2015_05_D_002,20150501,2,8,0,19,12.15,10.0,9,73,246159,55681,13210,38.62,42.23,541.3917
REC_2015_05_D_003,20150501,3,7,0,20,9.67,10.0,7,73,136663,39085,9311,60.85,0.0,366.5572
REC_2015_05_D_004,20150501,4,8,0,9,4.76,5.06,0,6,262242,76333,20128,32.15,11.9,60.098
REC_2015_05_D_006,20150501,6,7,0,18,12.02,10.0,14,116,215299,75957,13565,70.3,0.0,656.5178
REC_2015_05_D_008,20150501,8,7,0,21,9.64,10.0,6,33,182194,37393,7712,32.7,0.0,476.9665
REC_2015_05_D_011,20150501,11,8,0,22,8.52,10.0,13,88,313498,75465,19705,39.62,19.03,670.7602
REC_2015_05_D_012,20150501,12,8,0,22,12.42,10.0,10,80,120182,38881,8073,50.47,20.17,24.9535
REC_2015_05_D_015,20150501,15,8,0,10,4.21,4.12,1,21,104513,31964,5122,29.41,2.06,206.0996
REC_2015_05_D_018,20150501,18,7,0,19,11.65,10.0,5,51,97651,31213,6209,64.52,0.0,774.7331
REC_2015_05_D_021,20150501,21,8,1,19,11.08,10.0,17,159,310558,57912,9057,41.55,24.87,108.7536
REC_2015_05_D_022,20150501,22,8,0,16,8.7,9.36,3,39,94215,23874,3587,49.27,42.23,180.3743
REC_2015_05_D_025,20150501,25,2,0,9,4.91,4.93,0,6,283540,103571,23089,32.68,0.0,722.1492
REC_2015_05_D_026,20150501,26,7,0,18,10.0,10.0,21,159,265685,80066,17811,66.47,0.0,265.3084
REC_2015_05_D_030,20150501,30,7,0,22,8.84,10.0,4,44,44845,10857,2443,51.32,0.0,274.8327
REC_2015_05_D_031,20150501,31,8,0,18,12.87,10.0,24,140,380103,123351,31671,55.96,46.93,99.3666
REC_2015_05_D_035,20150501,35,7,0,20,11.36,10.0,14,101,76990,19506,2661,49.84,0.0,632.3765
REC_2015_05_D_036,20150501,36,7,0,18,11.78,10.0,3,25,67859,13783,2897,30.44,0.0,210.5425
REC_2015_05_D_037,20150501,37,7,0,17,8.64,8.44,0,8,31510,7663,1794,31.23,0.0,185.7196
REC_2015_05_D_041,20150501,41,7,1,18,8.76,10.0,9,100,162352,53374,11783,64.62,0.0,316.0842
REC_2015_05_D_048,20150501,48,7,0,21,11.25,10.0,26,92,121073,31173,7219,43.71,0.0,29.2479
REC_2015_05_D_051,20150501,51,8,0,20,10.68,10.0,8,72,211602,48516,6920,46.9,20.68,942.5519
REC_2015_05_D_053,20150501,53,8,0,6,3.37,3.5,0,7,150982,43663,9575,22.41,14.08,522.0016
REC_2015_05_D_054,20150501,54,7,0,22,8.33,10.0,12,109,203135,60509,14330,63.09,0.0,749.3437
REC_2015_05_D_055,20150501,55,7,1,20,8.75,10.0,5,35,135680,41100,6184,57.63,0.0,490.4805
REC_2015_05_D_056,20150501,56,7,0,16,8.75,7.45,2,12,108591,22178,3617,25.81,0.0,369.6384
REC_2015_05_D_061,20150501,61,8,0,21,10.8,10.0,5,19,207508,49353,11725,42.15,32.31,1242.175
REC_2015_05_D_063,20150501,63,2,0,7,3.29,3.91,1,11,206765,72822,11043,27.06,0.0,287.4893
REC_2015_05_D_064,20150501,64,7,0,19,9.03,10.0,13,89,229172,62618,12298,48.81,0.0,929.7698
REC_2015_05_D_068,20150501,68,7,0,22,11.74,10.0,16,83,173387,59645,11688,71.9,0.0,1101.725
REC_2015_05_D_071,20150501,71,8,0,20,9.6,10.0,18,104,336490,83974,11829,52.95,47.97,960.2717
REC_2015_05_D_075,20150501,75,2,0,3,2.53,2.01,0,5,31065,6661,1688,11.32,0.0,15.8277
REC_2015_05_D_079,20150501,79,7,0,20,10.12,10.0,10,41,127179,44792,9555,75.41,0.0,440.3723
REC_2015_05_D_081,20150501,81,8,0,19,12.3,10.0,2,16,81889,20239,4679,48.5,54.17,1030.6334
REC_2015_05_D_083,20150501,83,8,0,15,7.8,7.16,4,23,309908,112062,15311,50.74,31.39,163.4246
REC_2015_05_D_086,20150501,86,7,1,17,9.43,7.27,5,57,310079,93743,22186,39.05,0.0,849.4967
REC_2015_05_D_088,20150501,88,7,0,19,10.7,10.0,16,160,240167,61492,13984,40.73,0.0,853.2813
REC_2015_05_D_089,20150501,89,7,0,7,4.86,3.85,1,11,64256,20114,2956,27.84,0.0,113.206
REC_2015_05_D_091,20150501,91,8,0,18,12.71,10.0,34,105,440350,127895,21869,53.5,30.22,893.8054
REC_2015_05_D_092,20150501,92,8,1,16,6.37,7.08,4,40,160066,45817,8228,28.42,34.52,397.1968
REC_2015_05_D_094,20150501,94,7,0,15,9.44,7.59,0,9,65469,17247,4242,35.15,0.0,680.8172
REC_2015_06_D_006,20150601,6,7,0,20,10.62,10.0,12,99,217044,76573,11718,70.91,0.0,103.4986
REC_2015_06_D_008,20150601,8,7,0,18,8.37,10.0,9,38,183125,37584,8204,46.95,0.0,912.9695
REC_2015_06_D_015,20150601,15,3,0,2,2.11,2.07,0,8,67992,20794,3833,17.48,0.0,94.6468
REC_2015_06_D_017,20150601,17,7,0,8,4.07,4.13,0,4,18346,5145,1102,20.08,0.0,202.8453
REC_2015_06_D_018,20150601,18,7,0,21,11.32,10.0,9,27,98775,31572,7924,63.15,0.0,1656.7918
REC_2015_06_D_020,20150601,20,7,0,19,12.51,10.0,1,6,54086,16392,3514,55.4,0.0,273.7846
REC_2015_06_D_021,20150601,21,7,0,21,8.28,10.0,1,8,97655,18210,4574,41.27,0.0,270.0313
REC_2015_06_D_022,20150601,22,2,0,3,2.17,1.77,0,3,23945,6067,1326,1.35,0.0,233.3303
REC_2015_06_D_024,20150601,24,7,0,9,3.99,3.54,0,12,7723,1943,482,19.14,0.0,304.1039
REC_2015_06_D_025,20150601,25,3,0,9,5.1,4.25,1,14,256887,93835,18784,43.87,0.0,906.9105
REC_2015_06_D_026,20150601,26,7,0,19,10.67,10.0,11,117,265431,79990,11023,61.06,0.0,881.4408
REC_2015_06_D_029,20150601,29,7,1,7,3.04,3.41,0,14,73547,17604,3137,16.04,0.0,29.1949
REC_2015_06_D_031,20150601,31,7,0,21,9.01,10.0,7,19,93749,30423,7850,70.33,0.0,354.6557
REC_2015_06_D_032,20150601,32,7,0,17,9.48,8.07,0,14,30044,6666,1685,25.22,0.0,239.6058
REC_2015_06_D_033,20150601,33,2,1,7,4.36,3.58,0,11,184626,53305,14013,18.61,0.0,58.0792
REC_2015_06_D_034,20150601,34,7,0,21,10.79,10.0,8,72,125697,33038,6594,50.85,0.0,295.2666
REC_2015_06_D_036,20150601,36,7,0,20,9.56,10.0,2,11,67183,13646,1839,39.66,0.0,1265.927
REC_2015_06_D_037,20150601,37,7,1,19,8.69,10.0,1,9,36090,8777,1961,36.41,0.0,660.676
REC_2015_06_D_053,20150601,53,7,0,15,6.97,6.5,0,4,109098,31551,6277,30.67,0.0,213.5367
REC_2015_06_D_054,20150601,54,7,0,22,9.18,10.0,13,113,207427,61788,12897,55.25,0.0,730.2506
REC_2015_06_D_055,20150601,55,7,0,20,11.23,10.0,8,40,135523,41052,9151,54.23,0.0,790.2016
REC_2015_06_D_056,20150601,56,7,0,12,7.39,6.67,0,6,98602,20138,4325,24.18,0.0,343.9861
REC_2015_06_D_062,20150601,62,7,0,18,10.49,8.83,2,25,93230,24086,5725,45.26,0.0,303.4312
REC_2015_06_D_064,20150601,64,7,0,20,8.8,10.0,15,105,227939,62282,15983,48.5,0.0,189.8193
REC_2015_06_D_069,20150601,69,7,0,19,11.39,10.0,1,19,17334,4382,922,51.12,0.0,148.7167
REC_2015_06_D_072,20150601,72,7,0,14,5.52,6.06,0,3,35708,10289,1512,26.92,0.0,89.2555
REC_2015_06_D_076,20150601,76,7,0,18,12.93,10.0,14,128,176356,49760,10080,48.49,0.0,364.6352
REC_2015_06_D_084,20150601,84,2,0,7,3.16,3.28,0,2,93854,34849,8013,21.4,0.0,110.0358
REC_2015_06_D_088,20150601,88,7,0,21,12.81,10.0,20,59,240214,61504,10762,47.53,0.0,202.5926
REC_2015_06_D_092,20150601,92,7,0,17,10.35,8.78,3,33,28086,8039,1272,36.08,0.0,135.9038
REC_2015_06_D_094,20150601,94,7,0,12,5.77,5.23,0,12,49449,13026,3174,19.47,0.0,209.3543
REC_2015_07_D_015,20150701,15,2,0,8,5.47,5.21,1,11,124175,37977,6330,31.19,0.0,176.993
REC_2015_07_D_020,20150701,20,3,0,5,2.68,2.48,0,5,76466,23175,3133,17.88,0.0,23.1128
REC_2015_07_D_025,20150701,25,2,0,8,5.16,4.7,1,14,276069,100842,17931,32.71,0.0,580.9081
REC_2015_07_D_034,20150701,34,2,0,3,2.39,2.08,0,8,84385,22179,4121,8.59,0.0,71.6136
REC_2015_07_D_035,20150701,35,6,0,18,8.18,8.94,3,39,71005,17989,2580,43.05,0.0,516.2812
REC_2015_07_D_041,20150701,41,2,0,15,5.79,6.46,2,6,267946,88089,17884,41.77,0.0,503.2688
REC_2015_07_D_051,20150701,51,2,0,4,2.51,2.19,0,6,61150,14020,3672,0.24,0.0,41.1641
REC_2015_08_D_008,20150801,8,3,0,2,2.71,2.2,0,6,101697,20872,4941,15.1,0.0,83.3699
REC_2015_08_D_042,20150801,42,2,0,3,2.71,2.81,0,2,107713,23653,5472,5.87,0.0,67.7844
REC_2015_08_D_053,20150801,53,2,0,9,4.55,4.82,0,8,191340,55335,13562,22.47,0.0,334.9004
REC_2015_08_D_066,20150801,66,2,0,9,2.88,3.47,0,8,28061,7558,1252,18.7,0.0,19.4064
REC_2015_08_D_072,20150801,72,2,0,5,1.72,1.72,0,8,60267,17366,2890,14.18,0.0,57.5238
REC_2015_08_D_081,20150801,81,2,0,4,3.13,2.72,0,1,32232,7966,2015,8.52,0.0,324.5079
REC_2015_09_D_009,20150901,9,6,0,20,12.83,10.0,6,57,84178,17849,3151,36.97,0.0,657.7681
REC_2015_09_D_012,20150901,12,2,0,10,4.46,5.55,1,14,73754,23860,4474,32.12,0.0,965.6315
REC_2015_09_D_015,20150901,15,2,0,3,1.88,2.31,0,8,73345,22431,3958,13.67,0.0,335.8021
REC_2015_09_D_025,20150901,25,2,0,2,1.88,1.7,0,10,157875,57668,12836,10.99,0.0,205.6892
REC_2015_09_D_031,20150901,31,6,0,20,8.85,10.0,8,82,93028,30189,5834,63.97,0.0,767.2903
REC_2015_09_D_034,20150901,34,2,0,9,5.7,4.55,2,18,154435,40591,7520,21.99,0.0,317.1781
REC_2015_09_D_045,20150901,45,2,0,3,1.26,1.4,0,10,37189,12386,1702,8.62,0.0,128.6071
REC_2015_10_D_001,20151001,1,8,0,18,12.75,10.0,2,26,78046,25549,4340,51.12,33.56,1723.711
REC_2015_10_D_002,20151001,2,2,0,8,5.63,4.54,0,13,124681,28202,3883,22.18,0.0,372.276
REC_2015_10_D_011,20151001,11,8,0,22,10.45,10.0,17,140,307167,73941,10909,46.42,26.08,487.5165
REC_2015_10_D_012,20151001,12,8,1,20,8.45,10.0,9,24,120979,39139,9268,52.68,14.26,164.985
REC_2015_10_D_021,20151001,21,8,0,18,9.07,10.0,7,65,306679,57189,13895,38.73,29.79,528.6478
REC_2015_10_D_023,20151001,23,8,1,13,8.38,7.53,4,28,259920,81448,14391,45.25,18.13,843.4109
REC_2015_10_D_025,20151001,25,2,0,13,6.71,5.34,1,16,294586,107606,20350,37.47,0.0,1035.8199
REC_2015_10_D_031,20151001,31,2,0,9,3.54,4.17,1,14,198886,64542,14163,20.78,0.0,57.0157
REC_2015_10_D_032,20151001,32,8,1,21,10.33,9.83,3,34,105890,23494,5903,39.86,29.08,249.2142
REC_2015_10_D_041,20151001,41,8,0,18,10.59,10.0,29,169,375209,123353,19107,57.84,57.38,136.4665
REC_2015_10_D_043,20151001,43,2,0,9,3.24,3.46,0,2,17204,4239,893,10.53,0.0,633.2929
REC_2015_10_D_051,20151001,51,8,1,18,11.04,10.0,10,81,214917,49276,9307,37.44,18.85,751.3227
REC_2015_10_D_052,20151001,52,8,1,18,11.12,10.0,19,147,199596,65762,15765,62.61,33.35,681.9133
REC_2015_10_D_061,20151001,61,8,0,19,10.15,10.0,3,29,203800,48471,9700,45.66,37.36,477.4071
REC_2015_10_D_066,20151001,66,2,0,8,4.44,4.37,0,2,34349,9252,2254,9.56,0.0,74.2329
REC_2015_10_D_071,20151001,71,8,0,20,8.06,10.0,17,151,345575,86241,21716,42.41,43.73,831.8633
REC_2015_10_D_072,20151001,72,6,1,18,9.79,8.8,1,15,49131,14157,2678,45.71,0.0,568.4692
REC_2015_10_D_081,20151001,81,8,0,22,12.11,10.0,2,14,82361,20356,5307,42.29,49.57,547.5619
REC_2015_10_D_082,20151001,82,8,0,20,8.89,10.0,9,93,204405,45525,10022,38.52,26.61,3643.9752
REC_2015_10_D_084,20151001,84,2,0,5,4.1,3.2,0,9,92386,34304,8948,29.09,0.0,71.388
REC_2015_10_D_091,20151001,91,8,0,22,11.78,10.0,31,227,433212,125822,20972,47.2,25.79,747.344
REC_2015_10_D_092,20151001,92,8,1,21,12.1,9.67,11,104,196770,56323,10604,45.56,35.38,182.4868
REC_2015_10_D_093,20151001,93,2,0,10,5.03,5.59,2,20,192516,44733,9250,27.87,0.0,163.3663
REC_2015_11_D_001,20151101,1,8,0,22,10.47,10.0,4,22,78607,25732,5266,64.79,33.4,1784.0308
REC_2015_11_D_002,20151101,2,8,0,18,12.75,10.0,9,42,245686,55574,12475,47.16,27.02,1089.3885
REC_2015_11_D_003,20151101,3,8,0,19,7.42,8.14,6,48,266648,76261,19893,47.43,16.17,751.4997
REC_2015_11_D_011,20151101,11,8,0,20,8.77,10.0,15,98,312805,75298,14418,44.5,33.61,578.5506
REC_2015_11_D_013,20151101,13,2,0,4,3.31,2.79,0,2,98636,24655,5640,17.14,0.0,101.3352
REC_2015_11_D_022,20151101,22,8,0,18,11.19,10.0,4,18,102191,25895,3590,45.31,56.8,961.6856
REC_2015_11_D_023,20151101,23,8,0,16,7.7,8.66,4,30,294295,92220,24102,48.59,13.99,133.7207
REC_2015_11_D_031,20151101,31,8,0,21,10.71,10.0,31,199,392008,127214,19565,59.03,39.86,311.3606
REC_2015_11_D_033,20151101,33,2,0,18,12.75,10.0,25,158,389891,112569,25146,50.43,0.0,217.3321
REC_2015_11_D_035,20151101,35,3,0,6,2.57,2.65,1,15,151078,38277,7302,16.37,0.0,95.1051
REC_2015_11_D_041,20151101,41,8,1,22,10.38,10.0,31,235,372013,122302,27325,68.51,59.88,1212.5125
REC_2015_11_D_042,20151101,42,8,0,18,11.93,10.0,17,64,312160,68550,16163,41.12,39.04,153.817
REC_2015_11_D_051,20151101,51,8,0,19,8.29,10.0,9,33,213163,48874,7327,41.19,23.43,447.9877
REC_2015_11_D_052,20151101,52,8,0,18,11.49,10.0,17,87,197581,65098,13106,63.99,34.97,252.0967
REC_2015_11_D_053,20151101,53,2,0,12,5.05,6.25,1,7,233782,67609,12695,34.98,0.0,154.8126
REC_2015_11_D_061,20151101,61,8,1,19,9.8,10.0,6,47,207731,49406,8738,45.34,36.93,741.1247
REC_2015_11_D_062,20151101,62,2,0,10,5.24,5.79,1,20,210537,54394,12878,23.18,0.0,330.3123
REC_2015_11_D_063,20151101,63,8,0,14,8.02,7.48,6,54,309373,108961,19028,49.25,35.81,18.4855
REC_2015_11_D_065,20151101,65,9,0,8,2.74,3.41,0,2,97491,33930,7335,19.36,0.0,410.4142
REC_2015_11_D_071,20151101,71,8,1,19,10.75,10.0,13,139,342500,85474,17409,58.94,46.85,1396.8295
REC_2015_11_D_072,20151101,72,8,0,20,11.65,10.0,9,76,190428,54873,14458,56.2,55.98,588.2237
REC_2015_11_D_073,20151101,73,8,0,16,8.1,8.41,23,222,352375,114705,19033,50.84,47.25,701.6542
REC_2015_11_D_077,20151101,77,2,0,9,3.59,3.96,0,9,108160,41806,8198,30.83,0.0,138.6624
REC_2015_11_D_081,20151101,81,8,0,19,11.38,10.0,1,14,80182,19817,4529,42.88,48.11,651.2018
REC_2015_11_D_082,20151101,82,8,0,18,12.41,10.0,7,72,203974,45429,9771,51.35,18.09,2010.4693
REC_2015_11_D_083,20151101,83,8,0,16,11.17,8.6,9,39,349354,126326,24997,46.44,41.28,669.3217
REC_2015_11_D_091,20151101,91,8,1,22,9.4,10.0,39,370,444409,129074,30891,60.85,25.42,432.7605
REC_2015_11_D_092,20151101,92,8,0,21,11.37,10.0,16,89,209186,59877,8294,55.15,47.14,314.6653
REC_2015_12_D_001,20151201,1,2,0,12,4.02,4.97,0,2,48701,15942,2988,29.07,0.0,484.5276
REC_2015_12_D_045,20151201,45,2,1,3,2.14,2.49,0,9,47581,15848,2421,15.34,0.0,416.9494
REC_2015_12_D_049,20151201,49,3,1,5,3.4,2.98,0,1,27466,7107,1599,13.51,0.0,124.6976
REC_2015_12_D_061,20151201,61,2,0,11,4.94,4.91,0,9,110024,26168,5585,21.24,0.0,366.5773
REC_2015_12_D_063,20151201,63,2,0,5,3.04,2.99,0,3,178658,62923,11045,22.62,0.0,63.3898
REC_2015_12_D_079,20151201,79,3,0,8,2.6,2.93,0,10,165464,58276,7814,14.42,0.0,271.1094
REC_2015_12_D_094,20151201,94,2,0,8,3.94,4.5,0,7,118169,31130,8178,21.65,0.0,313.5371
REC_2015_12_D_097,20151201,97,2,0,11,4.11,4.37,0,9,83651,19537,2654,15.69,0.0,790.4795
REC_2016_01_D_004,20160101,4,2,0,7,4.25,4.08,1,5,224695,65404,12339,11.79,0.0,198.7934
REC_2016_01_D_043,20160101,43,2,0,9,3.18,3.89,0,7,19127,4712,695,22.22,0.0,185.5682
REC_2016_01_D_054,20160101,54,2,0,4,1.3,1.45,0,6,153507,45726,9834,12.11,0.0,155.9173
REC_2016_01_D_060,20160101,60,2,0,2,1.55,1.64,0,10,73566,21028,3633,9.2,0.0,21.5329
REC_2016_01_D_074,20160101,74,6,0,18,7.29,8.8,7,27,194725,58604,14595,45.52,0.0,1509.0189
REC_2016_01_D_082,20160101,82,2,0,9,7.21,5.77,3,7,125665,27988,5418,26.65,0.0,353.6568
REC_2016_01_D_083,20160101,83,2,0,5,2.41,2.15,0,8,151631,54829,14398,16.04,0.0,327.9312
REC_2016_01_D_098,20160101,98,2,0,4,1.52,1.49,1,7,98637,38263,9435,13.16,0.0,326.6603
REC_2016_02_D_019,20160201,19,3,0,6,2.05,2.18,1,21,103633,31131,4822,19.57,0.0,163.3456
REC_2016_02_D_026,20160201,26,2,0,8,4.33,3.93,0,14,206146,62124,13450,10.26,0.0,425.9082
REC_2016_02_D_031,20160201,31,2,0,8,5.62,5.28,2,18,230559,74821,17455,31.36,0.0,111.8337
REC_2016_02_D_044,20160201,44,2,0,11,5.12,4.77,1,6,61639,11351,2508,13.93,0.0,526.7101
REC_2016_02_D_075,20160201,75,2,0,7,4.6,3.63,0,10,45523,9761,1386,11.26,0.0,350.0969
REC_2016_03_D_020,20160301,20,3,0,9,4.02,4.0,0,2,102005,30915,7699,27.67,0.0,189.595
REC_2016_03_D_050,20160301,50,6,0,19,8.54,10.0,7,82,84361,21603,3203,50.89,0.0,379.5314
REC_2016_03_D_081,20160301,81,2,0,4,4.2,3.24,0,13,35233,8708,1328,17.86,0.0,554.1283
REC_2016_03_D_087,20160301,87,2,0,7,4.16,3.63,0,4,130915,40615,9662,11.72,0.0,110.1869
REC_2016_04_D_009,20160401,9,7,0,19,9.75,10.0,10,86,84897,18001,3152,40.07,0.0,598.2786
REC_2016_04_D_014,20160401,14,7,0,15,6.76,8.12,2,21,146736,37411,7232,33.38,0.0,1161.3544
REC_2016_04_D_018,20160401,18,7,0,20,12.22,10.0,12,66,99395,31770,6375,56.75,0.0,456.9764
REC_2016_04_D_020,20160401,20,7,0,9,7.21,5.9,0,1,34975,10600,1783,24.75,0.0,86.2448
REC_2016_04_D_024,20160401,24,6,0,18,12.21,10.0,3,28,20664,5199,873,48.96,0.0,330.0697
REC_2016_04_D_025,20160401,25,7,0,15,8.37,8.46,8,43,277010,101186,18818,59.0,0.0,1061.4167
REC_2016_04_D_026,20160401,26,7,0,7,3.91,3.99,0,14,135872,40946,10239,10.08,0.0,483.8916
REC_2016_04_D_031,20160401,31,7,1,22,11.49,10.0,7,34,90298,29303,5126,65.45,0.0,451.2072
REC_2016_04_D_041,20160401,41,7,0,18,10.93,10.0,7,65,161602,53128,13583,58.77,0.0,428.8632
REC_2016_04_D_042,20160401,42,2,0,7,5.38,4.2,0,2,149506,32831,5187,15.29,0.0,273.6136
REC_2016_04_D_047,20160401,47,7,0,20,9.08,10.0,11,89,163535,49014,12756,50.95,0.0,895.759
REC_2016_04_D_053,20160401,53,7,0,10,5.0,4.27,0,13,78227,22623,5159,19.92,0.0,412.4552
REC_2016_04_D_055,20160401,55,7,1,21,12.79,10.0,10,63,135594,41074,10798,59.0,0.0,513.5197
REC_2016_04_D_056,20160401,56,7,0,22,11.73,9.92,3,21,135403,27654,3737,36.36,0.0,1191.3532
REC_2016_04_D_063,20160401,63,7,0,21,12.85,10.0,6,44,105170,37040,8194,64.88,0.0,87.8272
REC_2016_04_D_067,20160401,67,7,0,18,8.55,10.0,6,38,166195,51414,13562,50.96,0.0,1092.3898
REC_2016_04_D_071,20160401,71,2,0,9,3.1,3.82,0,5,151085,37704,9043,17.81,0.0,503.7113
REC_2016_04_D_079,20160401,79,7,0,21,8.56,9.36,10,49,119839,42207,6248,57.11,0.0,464.3248
REC_2016_04_D_082,20160401,82,7,0,19,10.4,9.37,9,91,158105,35213,7534,42.65,0.0,315.9661
REC_2016_04_D_086,20160401,86,7,0,20,10.53,10.0,34,210,388072,117321,16125,58.97,0.0,1881.1222
REC_2016_04_D_089,20160401,89,7,0,21,9.12,10.0,8,31,130078,40719,6683,58.55,0.0,1426.8011
REC_2016_04_D_091,20160401,91,7,1,19,12.11,10.0,7,78,169238,49153,8426,59.03,0.0,576.3437
REC_2016_04_D_093,20160401,93,2,0,12,4.76,5.0,1,18,176894,41103,6973,25.36,0.0,334.3961
REC_2016_05_D_001,20160501,1,8,0,22,9.04,10.0,7,46,79840,26136,6853,56.37,33.16,1793.6026
REC_2016_05_D_002,20160501,2,8,1,18,10.73,10.0,9,44,240836,54477,7918,42.95,30.16,921.8718
REC_2016_05_D_009,20160501,9,7,1,18,8.69,10.0,3,39,84614,17941,3915,38.85,0.0,1091.7414
REC_2016_05_D_011,20160501,11,2,0,14,8.12,8.14,5,56,256630,61775,15888,28.58,0.0,218.9274
REC_2016_05_D_012,20160501,12,8,1,18,12.57,10.0,13,64,121695,39370,6913,55.15,14.21,2855.2435
REC_2016_05_D_013,20160501,13,8,0,16,6.86,6.94,1,16,191270,47809,10895,27.49,16.18,200.3415
REC_2016_05_D_014,20160501,14,7,0,19,12.43,10.0,11,72,178861,45602,10234,46.0,0.0,853.1663
